World Bank income group;Count (Data origin);Citable documents_total;Data origin per 1000 citable documents
;166.0;412171.0;0.40274546244155945
High-income economies;973.0;4001605.0;0.24315243508542198
Low-income economies;3.0;23604.0;0.12709710218607015
Lower-middle-income economies;18.0;381345.0;0.04720135310545569
Upper-middle-income economies;33.0;1334939.0;0.024720230662225017
