Usage;Count (High-income economies);Distribution (High-income economies);Count (Upper-middle-income economies);Distribution (Upper-middle-income economies);Count (Lower-middle-income economies);Distribution (Lower-middle-income economies);Count (Low-income economies);Distribution (Low-income economies)
Intra-group sharing;1097;99.81801637852593;27;56.25;15;42.857142857142854;1;10.0
Extra-group sharing;2;0.18198362147406735;21;43.75;20;57.14285714285714;9;90.0
