ICD-10 chapter;Count (ICD-10 chapter);Name (ICD-10 chapter);Distribution (ICD-10 chapter)
1;21;Certain infectious and parasitic diseases;42.0
22;4;Codes for special purposes (COVID-19);8.0
2;3;Neoplasms;6.0
4;3;Endocrine, nutritional and metabolic diseases;6.0
9;2;Diseases of the circulatory system;4.0
5;1;Mental and behavioural disorders;2.0
other;16;other;32.0
