ICD-10 chapter;Count (ICD-10 chapter);Name (ICD-10 chapter);Distribution (ICD-10 chapter)
2;172;Neoplasms;17.972831765935215
9;133;Diseases of the circulatory system;13.897596656217345
5;122;Mental and behavioural disorders;12.748171368861025
4;96;Endocrine, nutritional and metabolic diseases;10.031347962382446
22;69;Codes for special purposes (COVID-19);7.210031347962382
1;53;Certain infectious and parasitic diseases;5.538140020898641
other;312;other;32.60188087774294
